#: table_doi: 10.17182/hepdata.85696.v2/t180
#: name: Table 180
#: description: Absolute cross section at the parton level as a function of $|y(\text{t}_\text{h})|$.
#: data_file: data180.yaml
#: data_license:   
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword observables: DSIG_FID/DYTH
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: SQRT(S) [GEV],,,13000
$|y(\text{t}_\text{h})|$,$|y(\text{t}_\text{h})|$ LOW,$|y(\text{t}_\text{h})|$ HIGH,$\frac{{d}\sigma}{{d}|y(\text{t}_\text{h})|}$ [pb ],stat +,stat -,sys +,sys -
0.1,0.0,0.2,145.5310,0.8491,-0.8491,9.4233,-9.4233
0.30000000000000004,0.2,0.4,144.4607,0.8598,-0.8598,9.4737,-9.4737
0.5,0.4,0.6,137.0444,0.8500,-0.8500,8.7381,-8.7381
0.7,0.6,0.8,129.7322,0.8396,-0.8396,8.7933,-8.7933
0.9,0.8,1.0,117.0463,0.8112,-0.8112,8.1462,-8.1462
1.1,1.0,1.2,106.5027,0.7946,-0.7946,7.8377,-7.8377
1.2999999999999998,1.2,1.4,93.3417,0.7749,-0.7749,6.5899,-6.5899
1.5,1.4,1.6,78.0561,0.7682,-0.7682,6.5940,-6.5940
1.7000000000000002,1.6,1.8,66.8765,0.7742,-0.7742,5.4013,-5.4013
1.9,1.8,2.0,53.1734,0.8163,-0.8163,4.8121,-4.8121
2.25,2.0,2.5,32.8752,0.6374,-0.6374,2.9047,-2.9047

