#: table_doi: 10.17182/hepdata.85696.v2/t178
#: name: Table 178
#: description: Absolute cross section at the parton level as a function of $p_\text{T}(\text{t}_\text{h})$.
#: data_file: data178.yaml
#: data_license:   
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword observables: DSIG_FID/DPTTH
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: SQRT(S) [GEV],,,13000
$p_\text{T}(\text{t}_\text{h})$ [GeV],$p_\text{T}(\text{t}_\text{h})$ [GeV] LOW,$p_\text{T}(\text{t}_\text{h})$ [GeV] HIGH,$\frac{{d}\sigma}{{d}p_\text{T}(\text{t}_\text{h})}$ [pb GeV$^{-1}$],stat +,stat -,sys +,sys -
20.0,0.0,40.0,0.687455,0.006751,-0.006751,0.050018,-0.050018
60.0,40.0,80.0,1.494056,0.008262,-0.008262,0.102826,-0.102826
100.0,80.0,120.0,1.455983,0.008143,-0.008143,0.108262,-0.108262
140.0,120.0,160.0,1.021680,0.006219,-0.006219,0.079349,-0.079349
180.0,160.0,200.0,0.621294,0.004446,-0.004446,0.041713,-0.041713
220.0,200.0,240.0,0.346738,0.003052,-0.003052,0.023073,-0.023073
260.0,240.0,280.0,0.188006,0.002146,-0.002146,0.011208,-0.011208
305.0,280.0,330.0,0.095586,0.001301,-0.001301,0.006046,-0.006046
355.0,330.0,380.0,0.0472116,0.0008972,-0.0008972,0.0034042,-0.0034042
405.0,380.0,430.0,0.0229081,0.0006281,-0.0006281,0.0018338,-0.0018338
465.0,430.0,500.0,0.0100301,0.0003978,-0.0003978,0.0009482,-0.0009482
650.0,500.0,800.0,0.0021456,0.0001071,-0.0001071,0.0003308,-0.0003308

